,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,APPROXIMATE,"Grand County, UT, USA",ChIJuYGc_u9USIcRFkCMUUTZmEQ,"Grand & 5th Gas Co Tower, Los Angeles, California",39.0086287,-109.5613343,2,,OK,"administrative_area_level_2,political"
1,GEOMETRIC_CENTER,"E Main St & Browning Pkwy, Farmington, NM 87402, USA",EjRFIE1haW4gU3QgJiBCcm93bmluZyBQa3d5LCBGYXJtaW5ndG9uLCBOTSA4NzQwMiwgVVNB,"Farmington - Main and Browning, Farmington, New Mexico",36.7427632,-108.1677826,1,87402,OK,intersection
2,GEOMETRIC_CENTER,"4230 Belden Village Mall Cir NW, Canton, OH 44718, United States",ChIJt_Z9rTTRNogROx8BA-WCKwg,"Belden Village Mall Center Court, Canton, Ohio",40.857092,-81.427747,1,44718,OK,"clothing_store,department_store,establishment,food,movie_theater,point_of_interest,restaurant,shoe_store,shopping_mall,store"
3,GEOMETRIC_CENTER,"Cherry Rd, Rock Hill, SC, USA",ChIJ96DqbrSIVogRIcs-nPUksso,"Cherry Road & Charlotte Ave, Rock Hill, South Carolina",34.9628964,-81.001991,2,,OK,route
4,GEOMETRIC_CENTER,"GA-400, Georgia, USA",ChIJBcWS656b9YgRbWA0pQND90Y,"GA 400 & Dawson Forest Rd, Dawsonville, Georgia",34.1574068,-84.1741708,1,,OK,route
5,GEOMETRIC_CENTER,"Fashion Center Blvd, New Castle, DE 19720, USA",ChIJC0HdXTkBx4kRH357DsLM36o,"Christiana Fashion Center, Newark, Delaware",39.6724282,-75.6503973,1,19720,OK,route
6,APPROXIMATE,"Garden Grove, CA, USA",ChIJjc0dnT8o3YAROosPvSKWkAM,"Garden Grove & Euclid, Garden Grove, California",33.7742692,-117.9379952,1,,OK,"locality,political"
7,ROOFTOP,"103 Mapleview Dr W, Barrie, ON L4N 9H7, Canada",ChIJT_jXVku8KogRqP3WD9swmtE,"103 Mapleview Drive West, Barrie, Ontario",44.33275099999999,-79.6945623,1,L4N 9H7,OK,street_address
8,GEOMETRIC_CENTER,"Lincoln Hwy & Dickson Hill Rd, Fairfield, CA 94533, USA",EjdMaW5jb2xuIEh3eSAmIERpY2tzb24gSGlsbCBSZCwgRmFpcmZpZWxkLCBDQSA5NDUzMywgVVNB,"North Texas and Dickson Hill, Fairfield, California",38.2906819,-122.0339335,1,94533,OK,intersection
9,ROOFTOP,"355 Sackett Point Rd # 13, North Haven, CT 06473, USA",ChIJkc9KZo3Q54kRXCdBpZmNI7M,"Olympic & Olive, Los Angeles, California",41.3675064,-72.8768243,1,06473,OK,"establishment,moving_company,point_of_interest"
10,GEOMETRIC_CENTER,"Rte 66, United States",ChIJMSgSVhhV2ocRL4Vyh_mHu_w,"Route 66 & Vermont, Glendora, California",35.2546903,-101.6438836,1,,OK,route
11,GEOMETRIC_CENTER,"TX-121, Texas, USA",ChIJjYpNMIgVTIYReMlHmeqkd78,"Hwy 121 & Preston, Plano, Texas",33.1318495,-96.7148967,1,,OK,route
12,GEOMETRIC_CENTER,"Main St, New York, USA",ChIJk5_Pys9004kRS2Ko8DlzUkQ,"Main St & US-31 - Carmel, Carmel, Indiana",42.9658936,-78.71148149999999,10,,OK,route
13,GEOMETRIC_CENTER,"4655 William Flynn Hwy, Hampton Shoppes - Unit 113, Allison Park, PA 15101, United States",ChIJ2RW1tsSNNIgROZgpFaeF8es,"Hampton Shoppes, Allison Park, Pennsylvania",40.592232,-79.94914299999999,1,15101,OK,"establishment,health,point_of_interest"
14,APPROXIMATE,"Western Region, Uganda",ChIJx6gYaiIEYxcRS89Xb7RJk2Y,"Western & Fountain, Los Angeles, California",0.2580521,30.5279096,8,,OK,"administrative_area_level_1,political"
15,GEOMETRIC_CENTER,"W Lakeshore Pkwy & Wildwood Cir N, Birmingham, AL 35209, USA",EjxXIExha2VzaG9yZSBQa3d5ICYgV2lsZHdvb2QgQ2lyIE4sIEJpcm1pbmdoYW0sIEFMIDM1MjA5LCBVU0E,"Lakeshore and Wildwood, Birmingham, Alabama",33.4451106,-86.8276449,1,35209,OK,intersection
16,APPROXIMATE,"Columbia, MO, USA",ChIJyYKBu_Or3IcRIG-9ui1pEaA,"Columbia & McGill Rd, Kamloops, BritishColumbia",38.9517053,-92.3340724,6,,OK,"locality,political"
17,GEOMETRIC_CENTER,"Summit Dr, Lexington, KY 40502, USA",ChIJEyQCgctEQogR4yVBGRPBVXM,"Lexington - The Summit, Lexington, Kentucky",38.0220597,-84.49630859999999,1,40502,OK,route
18,APPROXIMATE,"Kettleman City, CA 93239, USA",ChIJgxEPBLqylIAR5HTouxBJWDk,"Kettleman & Hutchins St, Lodi, California",36.0082864,-119.9617998,1,93239,OK,"locality,political"
19,GEOMETRIC_CENTER,"96 Milton Rd Route 125, Rochester, NH 03868, United States",ChIJUyHlCumc4okRKOr3awZZiS4,"Rochester, Marketplace Drive, Rochester, NewHampshire",43.3412427,-70.9757595,1,03868,OK,"establishment,food,grocery_or_supermarket,point_of_interest,store"
20,GEOMETRIC_CENTER,"W Lloyd Expy, Evansville, IN, USA",ChIJ7f4gUk_TcYgRywJBYD4vtUQ,"West Lloyd - Evansville, Evansville, Indiana",37.9766287,-87.63563470000001,1,,OK,route
21,APPROXIMATE,"California, USA",ChIJPV4oX_65j4ARVW8IJ6IJUYs,"California & Kearny, San Francisco, California",36.778261,-119.4179324,1,,OK,"administrative_area_level_1,establishment,point_of_interest,political"
22,GEOMETRIC_CENTER,"Poplar, Odin, IL 62870, USA",ChIJrbkuMkWgdogR84zt0009Nus,"Poplar & Ridgeway - Memphis, Memphis, Tennessee",38.6197704,-89.06589629999999,10,62870,OK,route
23,RANGE_INTERPOLATED,"179 Live Eight Way, Barrie, ON L4N 0M7, Canada",Ei4xNzkgTGl2ZSBFaWdodCBXYXksIEJhcnJpZSwgT04gTDROIDBNNywgQ2FuYWRh,"179 Live Eight Way, Barrie, Ontario",44.3395649,-79.6804198,1,L4N 0M7,OK,street_address
24,APPROXIMATE,"Ocean County, NJ, USA",ChIJh7ZJcChswYkRWgFmCdLUJYw,"Ocean & Water - Santa Cruz, Santa Cruz, California",39.9652553,-74.3118212,1,,OK,"administrative_area_level_2,political"
25,,,,"Hwy 185 & I-44 - Sullivan, Sullivan, Missouri",,,0,,ZERO_RESULTS,
26,ROOFTOP,"3995 Cottrelle Blvd, Brampton, ON L6P 2P9, Canada",ChIJV1HeglEjK4gRkXhwh0eMN3k,"3995 Cottrelle Blvd, Brampton, Ontario",43.7843257,-79.6587964,1,L6P 2P9,OK,premise
27,ROOFTOP,"4627 East Sam Houston Pkwy S, Pasadena, TX 77505, USA",ChIJ8abUc8eYQIYR3a-SYXFWvJI,"Academy & Venetucci, Colorado Springs, Colorado",29.6398144,-95.1569306,1,77505,OK,"clothing_store,establishment,point_of_interest,shoe_store,store"
28,GEOMETRIC_CENTER,"Shawan Rd, Cockeysville, MD 21030, USA",ChIJAcw5LlYSyIkRLZgde3C60O8,"Shawan Rd, Cockeysville, Maryland",39.4970906,-76.6796279,1,21030,OK,route
29,ROOFTOP,"1 Tamarack Pl, Beckley, WV 25801, USA",ChIJJ3ltyWfyTogR1IOmksLDwDo,"Tamarack & I-5, Carlsbad, Carlsbad, California",37.80142379999999,-81.2172916,1,25801,OK,"art_gallery,establishment,point_of_interest,store"
30,ROOFTOP,"568 King St N, Waterloo, ON N2L 6L3, Canada",ChIJCX-vWMTzK4gRiP4X0Y5oFJ4,"568 King Street North, Waterloo, Ontario",43.500027,-80.529922,1,N2L 6L3,OK,street_address
