Opened,Name,City,State,City,Address
7/27/2017,Grand & 5th Gas Co Tower,Los Angeles,California,LosAngeles,"Grand & 5th Gas Co Tower, Los Angeles, California"
7/24/2017,Farmington - Main and Browning,Farmington,New Mexico,NewMexicoRemoteMarkets,"Farmington - Main and Browning, Farmington, New Mexico"
7/21/2017,Belden Village Mall Center Court,Canton,Ohio,Akron,"Belden Village Mall Center Court, Canton, Ohio"
7/21/2017,Cherry Road & Charlotte Ave,Rock Hill,South Carolina,SouthCarolinaRemoteMarkets,"Cherry Road & Charlotte Ave, Rock Hill, South Carolina"
7/21/2017,GA 400 & Dawson Forest Rd,Dawsonville,Georgia,Atlanta,"GA 400 & Dawson Forest Rd, Dawsonville, Georgia"
7/21/2017,Christiana Fashion Center,Newark,Delaware,,"Christiana Fashion Center, Newark, Delaware"
7/21/2017,Garden Grove & Euclid,Garden Grove,California,OrangeCounty,"Garden Grove & Euclid, Garden Grove, California"
7/20/2017,103 Mapleview Drive West,Barrie,Ontario,Toronto,"103 Mapleview Drive West, Barrie, Ontario"
7/20/2017,North Texas and Dickson Hill,Fairfield,California,SolanoCounty,"North Texas and Dickson Hill, Fairfield, California"
7/20/2017,Olympic & Olive,Los Angeles,California,LosAngeles,"Olympic & Olive, Los Angeles, California"
7/20/2017,Route 66 & Vermont,Glendora,California,LosAngeles,"Route 66 & Vermont, Glendora, California"
7/17/2017,Hwy 121 & Preston,Plano,Texas,DallasFortWorth,"Hwy 121 & Preston, Plano, Texas"
7/15/2017,Main St & US-31 - Carmel,Carmel,Indiana,Indianapolis,"Main St & US-31 - Carmel, Carmel, Indiana"
7/14/2017,Hampton Shoppes,Allison Park,Pennsylvania,Pittsburgh,"Hampton Shoppes, Allison Park, Pennsylvania"
7/14/2017,Western & Fountain,Los Angeles,California,LosAngeles,"Western & Fountain, Los Angeles, California"
7/14/2017,Lakeshore and Wildwood,Birmingham,Alabama,Birmingham,"Lakeshore and Wildwood, Birmingham, Alabama"
7/13/2017,Columbia & McGill Rd,Kamloops,BritishColumbia,EasternBritishColumbia,"Columbia & McGill Rd, Kamloops, BritishColumbia"
